Alpha,mAP,Rank-1,LogDir,LogFile,mAP_mean,mAP_std,Rank-1_mean,Rank-1_std
0.000,41.300,42.100,job_1479857_0_alpha0.0_run1,log.txt,42.160000000000004,0.5176871642217927,42.38,0.39623225512317967
0.000,42.600,42.400,job_1479857_1_alpha0.0_run2,log.txt,,,,
0.000,42.100,42.600,job_1479857_2_alpha0.0_run3,log.txt,,,,
0.000,42.300,41.900,job_1479857_3_alpha0.0_run4,log.txt,,,,
0.000,42.500,42.900,job_1479857_4_alpha0.0_run5,log.txt,,,,
0.100,42.100,42.200,job_1479857_5_alpha0.1_run1,log.txt,42.260000000000005,0.4277849927241473,42.7,0.9848857801796099
0.100,42.100,42.400,job_1479857_6_alpha0.1_run2,log.txt,,,,
0.100,41.900,41.900,job_1479857_7_alpha0.1_run3,log.txt,,,,
0.100,42.200,42.600,job_1479857_8_alpha0.1_run4,log.txt,,,,
0.100,43.000,44.400,job_1479857_9_alpha0.1_run5,log.txt,,,,
0.500,41.800,42.700,job_1479857_10_alpha0.5_run1,log.txt,42.160000000000004,0.25099800796022287,42.7,0.4062019202317989
0.500,42.400,42.900,job_1479857_11_alpha0.5_run2,log.txt,,,,
0.500,42.100,42.100,job_1479857_12_alpha0.5_run3,log.txt,,,,
0.500,42.400,43.200,job_1479857_13_alpha0.5_run4,log.txt,,,,
0.500,42.100,42.600,job_1479857_14_alpha0.5_run5,log.txt,,,,
