LossName,mAP,Rank-1,LogDir,LogFile,mAP_mean,mAP_std,Rank-1_mean,Rank-1_std
L_ce,17.400,19.400,job_1481212_0_L_ce_run1,log.txt,18.866666666666664,1.3316656236958793,19.966666666666665,0.5131601439446891
L_ce,20.000,20.100,job_1481212_1_L_ce_run2,log.txt,,,,
L_ce,19.200,20.400,job_1481212_2_L_ce_run3,log.txt,,,,
L_triplet,27.800,28.400,job_1481212_3_L_triplet_run1,log.txt,27.433333333333334,1.193035344544884,28.099999999999998,1.2767145334803705
L_triplet,28.400,29.200,job_1481212_4_L_triplet_run2,log.txt,,,,
L_triplet,26.100,26.700,job_1481212_5_L_triplet_run3,log.txt,,,,
L_align,0.300,0.100,job_1481212_6_L_align_run1,log.txt,0.3666666666666667,0.11547005383792516,0.16666666666666666,0.11547005383792514
L_align,0.300,0.100,job_1481212_7_L_align_run2,log.txt,,,,
L_align,0.500,0.300,job_1481212_8_L_align_run3,log.txt,,,,
L_uniform,0.200,0.100,job_1481212_10_L_uniform_run2,log.txt,0.26666666666666666,0.05773502691896256,0.10000000000000002,0.0
L_uniform,0.300,0.100,job_1481212_11_L_uniform_run3,log.txt,,,,
L_uniform,0.300,0.100,job_1481212_9_L_uniform_run1,log.txt,,,,
L_domain,0.300,0.200,job_1481212_12_L_domain_run1,log.txt,0.26666666666666666,0.05773502691896256,0.16666666666666666,0.05773502691896257
L_domain,0.200,0.100,job_1481212_13_L_domain_run2,log.txt,,,,
L_domain,0.300,0.200,job_1481212_14_L_domain_run3,log.txt,,,,
