AlphaInit,AlphaInitLabel,AlphaInitOrder,AlphaEnd,mAP,Rank-1,Pretrained,LogDir,LogFile,mAP_mean,mAP_std,Rank-1_mean,Rank-1_std
,None,-1.000,,42.500,42.700,False,job_1481835_0_alphaNone_run1,log.txt,,,,
,None,-1.000,,42.200,42.500,False,job_1481835_1_alphaNone_run2,log.txt,,,,
,None,-1.000,,42.200,42.500,False,job_1481835_2_alphaNone_run3,log.txt,,,,
,None,-1.000,,42.300,43.100,False,job_1481835_3_alphaNone_run4,log.txt,,,,
,None,-1.000,,42.100,42.100,False,job_1481835_4_alphaNone_run5,log.txt,,,,
0.000,0,0.000,0.000,42.700,43.600,True,job_1484071_alphainit0.0_alphamax1.0_alphatemp1.0_PRETRAINEDtrue,log.txt,41.800,0.000,41.600,0.000
0.000,0,0.000,0.001,41.800,41.600,False,job_1484195_alphainit0.0_alphamax1.0_alphatemp1.0,log.txt,,,,
0.100,0.1,0.100,0.048,42.600,43.200,False,job_1484059_0_alphainit0.1_alphamax1.0_alphatemp1.0,log.txt,42.600,0.000,43.200,0.000
0.200,0.2,0.200,0.060,42.700,42.300,False,job_1484059_1_alphainit0.2_alphamax1.0_alphatemp1.0,log.txt,42.700,0.000,42.300,0.000
0.300,0.3,0.300,0.054,42.500,42.500,False,job_1484059_2_alphainit0.3_alphamax1.0_alphatemp1.0,log.txt,42.500,0.000,42.500,0.000
0.500,0.5,0.500,0.064,42.200,42.800,False,job_1484059_3_alphainit0.5_alphamax1.0_alphatemp1.0,log.txt,42.200,0.000,42.800,0.000
0.700,0.7,0.700,0.073,42.000,42.500,False,job_1484059_4_alphainit0.7_alphamax1.0_alphatemp1.0,log.txt,42.000,0.000,42.500,0.000
0.900,0.9,0.900,0.076,42.000,43.000,False,job_1484059_5_alphainit0.9_alphamax1.0_alphatemp1.0,log.txt,42.000,0.000,43.000,0.000
