AlphaInit,AlphaInitLabel,AlphaInitOrder,AlphaEnd,mAP,Rank-1,LogDir,LogFile,mAP_mean,mAP_std,Rank-1_mean,Rank-1_std
,None,-1.000,,42.500,42.700,job_1481835_0_alphaNone_run1,log.txt,,,,
,None,-1.000,,42.200,42.500,job_1481835_1_alphaNone_run2,log.txt,,,,
,None,-1.000,,42.200,42.500,job_1481835_2_alphaNone_run3,log.txt,,,,
,None,-1.000,,42.300,43.100,job_1481835_3_alphaNone_run4,log.txt,,,,
,None,-1.000,,42.100,42.100,job_1481835_4_alphaNone_run5,log.txt,,,,
0.100,0.1,0.100,0.098,42.000,41.600,job_1482168_0_alphainit0.1_alphamax1.0_alphatemp1.0,log.txt,42.000,0.000,41.600,0.000
0.200,0.2,0.200,0.104,41.900,42.600,job_1482168_1_alphainit0.2_alphamax1.0_alphatemp1.0,log.txt,41.900,0.000,42.600,0.000
0.300,0.3,0.300,0.107,42.100,42.700,job_1482168_2_alphainit0.3_alphamax1.0_alphatemp1.0,log.txt,42.100,0.000,42.700,0.000
0.500,0.5,0.500,0.118,42.400,42.400,job_1482168_3_alphainit0.5_alphamax1.0_alphatemp1.0,log.txt,42.400,0.000,42.400,0.000
0.700,0.7,0.700,0.124,42.400,41.900,job_1482168_4_alphainit0.7_alphamax1.0_alphatemp1.0,log.txt,42.400,0.000,41.900,0.000
0.900,0.9,0.900,0.150,42.200,42.800,job_1482168_5_alphainit0.9_alphamax1.0_alphatemp1.0,log.txt,42.200,0.000,42.800,0.000
